Date,Country,Tonnes
2000-03,Papua New Guinea,1.96
2000-03,Mongolia,0.39
2000-03,Gabon,0.4
2000-03,Syrian Arab Republic,25.91
2000-03,Chad,0.35
2000-03,Lao PDR,2.41
2000-03,Luxembourg,2.36
2000-03,Suriname,7.62
2000-03,Congo,0.35
2000-03,Tajikistan,0.07
2000-03,Burundi,0.54
2000-03,Comoros,0.02
2000-03,Eritrea,2.64
2000-03,Cameroon,0.93
2000-03,Mauritania,0.36
2000-06,Japan,753.55
2000-06,China,395.01
2000-06,"Taiwan, China",421.45
2000-06,Hong Kong SAR,2.08
2000-06,South Korea,13.63
2000-06,Germany,3468.6
2000-06,United States of America,8137.42
2000-06,France,3024.63
2000-06,United Kingdom,562.93
2000-06,India,357.76
2000-06,Mexico,9.21
2000-06,Spain,523.47
2000-06,Malaysia,36.39
2000-06,Thailand,73.62
2000-06,Switzerland,2538.38
2000-06,Canada,38.69
2000-06,Indonesia,96.45
2000-06,Brazil,118.93
2000-06,Argentina,10.36
2000-06,Poland,102.83
2000-06,Turkey,116.42
2000-06,Italy,2451.84
2000-06,Norway,36.7
2000-06,Russian Federation,343.41
2000-06,Saudi Arabia,142.95
2000-06,Australia,79.69
2000-06,Denmark,66.6
2000-06,Greece,132.22
2000-06,Chile,2.29
2000-06,Sweden,184.42
2000-06,Austria,407.48
2000-06,Egypt,75.65
2000-06,Philippines,211.25
2000-06,Czech Republic,13.87
2000-06,Venezuela,320.05
2000-06,United Arab Emirates,12.35
2000-06,Hungary,3.14
2000-06,Belgium,258.09
2000-06,Libya,143.82
2000-06,Peru,34.21
2000-06,Netherlands,911.82
2000-06,Portugal,606.7
2000-06,Colombia,10.2
2000-06,Finland,49.05
2000-06,Algeria,173.64
2000-06,Nigeria,21.37
2000-06,Lebanon,286.83
2000-06,South Africa,123.79
2000-06,Kuwait,78.96
2000-06,Ireland,5.47
2000-06,Morocco,21.94
2000-06,Slovakia,40.12
2000-06,Jordan,12.42
2000-06,Croatia,0.0
2000-06,Slovenia,0.01
2000-06,Bulgaria,39.92
2000-06,Uruguay,56.73
2000-06,Yemen,1.56
2000-06,Cyprus,14.43
2000-06,Romania,104.29
2000-06,El Salvador,14.59
2000-06,Oman,9.04
2000-06,Guatemala,6.74
2000-06,Malta,0.19
2000-06,Bangladesh,3.34
2000-06,Bahrain,4.67
2000-06,Tunisia,6.77
2000-06,Pakistan,64.95
2000-06,Kazakhstan,56.38
2000-06,Sri Lanka,9.16
2000-06,Lithuania,5.79
2000-06,Honduras,0.67
2000-06,Trinidad and Tobago,1.86
2000-06,Costa Rica,0.06
2000-06,Qatar,0.6
2000-06,Nepal,4.75
2000-06,Paraguay,1.09
2000-06,Bolivia,29.22
2000-06,Latvia,7.74
2000-06,Ukraine,13.62
2000-06,Estonia,0.25
2000-06,Kenya,0.0
2000-06,Mozambique,2.17
2000-06,Mauritius,1.92
2000-06,Ecuador,26.3
2000-06,Azerbaijan,0.0
2000-06,North Macedonia,3.36
2000-06,Dominican Republic,0.57
2000-06,Cambodia,12.44
2000-06,Albania,3.73
2000-06,Nicaragua,0.0
2000-06,Bosnia and Herzegovina,0.0
2000-06,Iceland,1.84
2000-06,Fiji,0.02
2000-06,Ghana,8.71
2000-06,Armenia,1.38
2000-06,Papua New Guinea,1.96
2000-06,Haiti,0.04
2000-06,Kyrgyzstan,2.58
2000-06,Aruba,3.11
2000-06,Malawi,0.4
2000-06,Gabon,0.4
2000-06,Mongolia,0.85
2000-06,Syrian Arab Republic,25.91
2000-06,Lao PDR,0.86
2000-06,Chad,0.35
2000-06,Suriname,7.61
2000-06,Luxembourg,2.36
2000-06,Cameroon,0.93
2000-06,Tajikistan,0.07
2000-06,Congo,0.35
2000-06,Burundi,0.54
2000-06,Comoros,0.02
2000-06,Eritrea,2.64
2000-06,Mauritania,0.36
2000-09,Japan,763.5
2000-09,China,395.01
2000-09,"Taiwan, China",421.45
2000-09,Hong Kong SAR,2.08
2000-09,South Korea,13.66
2000-09,Singapore,127.4
2000-09,Germany,3468.6
2000-09,United States of America,8136.91
2000-09,United Kingdom,512.7
2000-09,France,3024.63
2000-09,Mexico,8.71
2000-09,India,357.76
2000-09,Spain,523.47
2000-09,Thailand,73.62
2000-09,Malaysia,36.39
2000-09,Brazil,119.01
2000-09,Canada,36.83
2000-09,Switzerland,2469.38
2000-09,Indonesia,96.45
2000-09,Italy,2451.84
2000-09,Norway,36.7
2000-09,Argentina,0.62
2000-09,Poland,102.83
2000-09,Turkey,116.35
2000-09,Russian Federation,366.3
2000-09,Saudi Arabia,142.95
2000-09,Australia,79.72
2000-09,Chile,2.3
2000-09,Austria,377.5
2000-09,Greece,132.38
2000-09,Sweden,185.42
2000-09,Denmark,66.6
2000-09,Venezuela,320.05
2000-09,Egypt,75.65
2000-09,Philippines,217.44
2000-09,Czech Republic,13.87
2000-09,United Arab Emirates,12.35
2000-09,Hungary,3.14
2000-09,Libya,143.82
2000-09,Netherlands,911.82
2000-09,Belgium,258.09
2000-09,Peru,34.21
2000-09,Portugal,606.7
2000-09,Colombia,10.19
2000-09,Nigeria,21.37
2000-09,Finland,49.05
2000-09,Lebanon,286.83
2000-09,Kuwait,78.96
2000-09,South Africa,179.47
2000-09,Ireland,5.47
2000-09,Morocco,21.96
2000-09,Slovakia,40.12
2000-09,Jordan,12.44
2000-09,Croatia,0.0
2000-09,Slovenia,0.01
2000-09,Bulgaria,39.92
2000-09,Yemen,1.56
2000-09,Uruguay,33.53
2000-09,Romania,104.54
2000-09,Tunisia,6.78
2000-09,Cyprus,14.43
2000-09,Oman,9.04
2000-09,El Salvador,14.59
2000-09,Guatemala,6.72
2000-09,Kazakhstan,57.25
2000-09,Malta,0.19
2000-09,Trinidad and Tobago,1.87
2000-09,Costa Rica,0.06
2000-09,Bangladesh,3.34
2000-09,Bahrain,4.67
2000-09,Lithuania,5.79
2000-09,Honduras,0.67
2000-09,Sri Lanka,9.1
2000-09,Pakistan,65.03
2000-09,Qatar,0.6
2000-09,Nepal,4.75
2000-09,Kenya,0.01
2000-09,Bolivia,29.2
2000-09,Ukraine,13.9
2000-09,Latvia,7.74
2000-09,Ecuador,26.3
2000-09,Estonia,0.25
2000-09,Paraguay,1.09
2000-09,Azerbaijan,0.0
2000-09,Mozambique,2.17
2000-09,Mauritius,1.92
2000-09,Albania,3.47
2000-09,North Macedonia,3.47
2000-09,Cambodia,12.44
2000-09,Dominican Republic,0.56
2000-09,Bosnia and Herzegovina,0.0
2000-09,Nicaragua,0.0
2000-09,Iceland,1.84
2000-09,Fiji,0.02
2000-09,Armenia,1.38
2000-09,Kyrgyzstan,2.58
2000-09,Ghana,8.71
2000-09,Papua New Guinea,1.96
2000-09,Aruba,3.11
2000-09,Haiti,0.04
2000-09,Malawi,0.4
2000-09,Mongolia,4.94
2000-09,Lao PDR,0.53
2000-09,Syrian Arab Republic,25.91
2000-09,Gabon,0.4
2000-09,Chad,0.35
2000-09,Cameroon,0.93
2000-09,Luxembourg,2.36
2000-09,Tajikistan,0.16
2000-09,Suriname,8.75
2000-09,Congo,0.35
2000-09,Burundi,0.54
2000-09,Eritrea,1.2
2000-09,Comoros,0.02
2000-09,Mauritania,0.36
2000-12,Japan,763.5
2000-12,China,395.01
2000-12,Hong Kong SAR,2.08
2000-12,"Taiwan, China",421.76
2000-12,South Korea,13.66
2000-12,Singapore,127.4
2000-12,Germany,3468.6
2000-12,United States of America,8136.95
2000-12,United Kingdom,487.5
2000-12,India,357.76
2000-12,France,3024.63
2000-12,Mexico,7.76
2000-12,Brazil,65.88
2000-12,Switzerland,2419.38
2000-12,Canada,36.83
2000-12,Thailand,73.62
2000-12,Spain,523.44
2000-12,Indonesia,96.45
2000-12,Malaysia,36.39
2000-12,Norway,36.8
2000-12,Poland,102.83
2000-12,Italy,2451.84
2000-12,Argentina,0.59
2000-12,Russian Federation,384.4
2000-12,Turkey,116.29
2000-12,Saudi Arabia,142.95
2000-12,Australia,79.72
2000-12,Denmark,66.6
2000-12,Chile,2.29
2000-12,Sweden,185.42
2000-12,Austria,377.5
2000-12,United Arab Emirates,12.35
2000-12,Greece,132.56
2000-12,Egypt,75.64
2000-12,Philippines,224.83
2000-12,Venezuela,318.5
2000-12,Czech Republic,13.87
2000-12,Libya,143.82
2000-12,Algeria,173.64
2000-12,Hungary,3.14
2000-12,Belgium,258.09
2000-12,Nigeria,21.37
2000-12,Netherlands,911.79
2000-12,Colombia,10.19
2000-12,Portugal,606.7
2000-12,Peru,34.21
2000-12,Finland,49.05
2000-12,Kuwait,78.96
2000-12,South Africa,183.51
2000-12,Lebanon,286.83
2000-12,Ireland,5.47
2000-12,Morocco,21.96
2000-12,Slovakia,40.12
2000-12,Croatia,0.0
2000-12,Jordan,12.47
2000-12,Slovenia,0.01
2000-12,Bulgaria,39.92
2000-12,Yemen,1.56
2000-12,Uruguay,33.62
2000-12,Romania,104.94
2000-12,Oman,9.04
2000-12,Tunisia,6.84
2000-12,El Salvador,14.59
2000-12,Guatemala,6.72
2000-12,Cyprus,14.44
2000-12,Kazakhstan,57.21
2000-12,Bahrain,4.67
2000-12,Pakistan,65.03
2000-12,Bangladesh,3.38
2000-12,Malta,0.12
2000-12,Trinidad and Tobago,1.87
2000-12,Ukraine,14.11
2000-12,Costa Rica,0.06
2000-12,Honduras,0.67
2000-12,Lithuania,5.79
2000-12,Qatar,0.6
2000-12,Sri Lanka,10.47
2000-12,Ecuador,26.3
2000-12,Nepal,4.75
2000-12,Bolivia,29.2
2000-12,Estonia,0.25
2000-12,Kenya,0.01
2000-12,Mauritius,1.92
2000-12,Latvia,7.74
2000-12,Paraguay,1.09
2000-12,Mozambique,2.17
2000-12,Azerbaijan,0.0
2000-12,Dominican Republic,0.56
2000-12,Albania,3.47
2000-12,Cambodia,12.44
2000-12,Bosnia and Herzegovina,0.0
2000-12,Nicaragua,0.46
2000-12,North Macedonia,3.49
2000-12,Fiji,0.02
2000-12,Iceland,1.84
2000-12,Armenia,1.39
2000-12,Papua New Guinea,1.96
2000-12,Malawi,0.4
2000-12,Kyrgyzstan,2.58
2000-12,Ghana,8.71
2000-12,Congo,0.35
2000-12,Cameroon,0.93
2000-12,Aruba,3.11
2000-12,Gabon,0.4
2000-12,Haiti,0.04
2000-12,Mongolia,2.64
2000-12,Lao PDR,0.52
2000-12,Syrian Arab Republic,25.91
2000-12,Chad,0.35
2000-12,Tajikistan,0.16
2000-12,Luxembourg,2.36
2000-12,Suriname,7.97
2000-12,Mauritania,0.36
2000-12,Comoros,0.02
2000-12,Burundi,0.54
2000-12,Eritrea,1.2
2000-12,Serbia,14.2
2001-03,Japan,763.5
2001-03,China,395.01
2001-03,Hong Kong SAR,2.08
2001-03,"Taiwan, China",421.76
2001-03,South Korea,13.67
2001-03,Singapore,127.4
2001-03,Germany,3468.6
2001-03,United States of America,8137.13
2001-03,United Kingdom,437.07
2001-03,Mexico,7.05
2001-03,India,357.76
2001-03,France,3024.63
2001-03,Brazil,31.99
2001-03,Canada,36.2
2001-03,Spain,523.44
2001-03,Thailand,73.62
2001-03,Switzerland,2368.48
2001-03,Indonesia,96.45
2001-03,Poland,102.83
2001-03,Norway,36.8
2001-03,Russian Federation,390.53
2001-03,Italy,2451.84
2001-03,Malaysia,36.39
2001-03,Argentina,0.59
2001-03,Turkey,116.21
2001-03,Saudi Arabia,142.95
2001-03,Australia,79.72
2001-03,Chile,2.29
2001-03,United Arab Emirates,12.35
2001-03,Algeria,173.64
2001-03,Sweden,185.42
2001-03,Denmark,66.6
2001-03,Egypt,75.65
2001-03,Philippines,228.44
2001-03,Czech Republic,13.84
2001-03,Austria,347.49
2001-03,Libya,143.82
2001-03,Venezuela,328.45
2001-03,Nigeria,21.37
2001-03,Hungary,3.14
2001-03,Belgium,258.06
2001-03,Netherlands,911.79
2001-03,Colombia,10.19
2001-03,Portugal,606.7
2001-03,Peru,34.21
2001-03,Kuwait,78.71
2001-03,Finland,49.05
2001-03,Morocco,21.97
2001-03,South Africa,182.58
2001-03,Lebanon,286.83
2001-03,Greece,123.04
2001-03,Ireland,5.47
2001-03,Slovakia,40.12
2001-03,Croatia,0.0
2001-03,Jordan,12.49
2001-03,Slovenia,0.01
2001-03,Yemen,1.56
2001-03,Romania,105.0
2001-03,Bulgaria,39.94
2001-03,Uruguay,25.94
2001-03,Oman,9.04
2001-03,Cyprus,14.44
2001-03,Kazakhstan,57.15
2001-03,Guatemala,6.72
2001-03,Tunisia,6.84
2001-03,El Salvador,14.59
2001-03,Trinidad and Tobago,1.87
2001-03,Bahrain,4.67
2001-03,Pakistan,65.03
2001-03,Costa Rica,0.06
2001-03,Ukraine,14.3
2001-03,Malta,0.12
2001-03,Bangladesh,3.38
2001-03,Honduras,0.67
2001-03,Lithuania,5.79
2001-03,Qatar,0.6
2001-03,Nepal,4.75
2001-03,Azerbaijan,0.0
2001-03,Sri Lanka,9.56
2001-03,Kenya,0.01
2001-03,North Macedonia,3.49
2001-03,Latvia,7.73
2001-03,Bolivia,29.2
2001-03,Mauritius,1.92
2001-03,Estonia,0.25
2001-03,Ecuador,26.3
2001-03,Mozambique,2.17
2001-03,Albania,3.47
2001-03,Paraguay,1.09
2001-03,Dominican Republic,0.57
2001-03,Cambodia,12.44
2001-03,Bosnia and Herzegovina,0.0
2001-03,Nicaragua,0.46
2001-03,Iceland,1.84
2001-03,Fiji,0.02
2001-03,Malawi,0.4
2001-03,Armenia,1.39
2001-03,Papua New Guinea,1.96
2001-03,Cameroon,0.93
2001-03,Aruba,3.11
2001-03,Kyrgyzstan,2.58
2001-03,Gabon,0.4
2001-03,Mongolia,3.58
2001-03,Haiti,0.04
2001-03,Ghana,8.71
2001-03,Congo,0.35
2001-03,Lao PDR,0.52
2001-03,Syrian Arab Republic,25.91
2001-03,Chad,0.35
2001-03,Luxembourg,2.36
2001-03,Tajikistan,0.17
2001-03,Comoros,0.02
2001-03,Burundi,0.54
2001-03,Suriname,7.8
2001-03,Eritrea,1.2
2001-03,Mauritania,0.36
2001-03,Serbia,14.3
2001-06,Japan,765.22
2001-06,China,395.01
2001-06,Hong Kong SAR,2.08
2001-06,"Taiwan, China",421.76
2001-06,South Korea,13.67
2001-06,Singapore,127.4
2001-06,United States of America,8135.32
2001-06,Germany,3468.6
2001-06,United Kingdom,415.99
2001-06,India,357.75
2001-06,Mexico,6.41
2001-06,Brazil,34.84
2001-06,France,3024.63
2001-06,Canada,36.2
2001-06,Russian Federation,394.11
2001-06,Thailand,74.65
2001-06,Spain,523.44
2001-06,Switzerland,2320.48
2001-06,Indonesia,96.45
2001-06,Poland,102.83
2001-06,Italy,2451.84
2001-06,Malaysia,36.39
2001-06,Norway,36.8
2001-06,Argentina,0.31
2001-06,Australia,79.72
2001-06,Saudi Arabia,142.95
2001-06,Turkey,116.17
2001-06,Algeria,173.64
2001-06,Libya,143.82
2001-06,Chile,2.29
2001-06,Sweden,185.42
2001-06,United Arab Emirates,12.35
2001-06,Denmark,66.6
2001-06,Egypt,75.64
2001-06,Czech Republic,13.84
2001-06,Philippines,229.42
2001-06,Austria,347.49
2001-06,Hungary,3.14
2001-06,Nigeria,21.37
2001-06,Venezuela,334.05
2001-06,Belgium,258.06
2001-06,Colombia,10.17
2001-06,Kuwait,78.96
2001-06,Portugal,606.7
2001-06,Netherlands,909.8
2001-06,Peru,34.21
2001-06,Finland,49.05
2001-06,Morocco,21.97
2001-06,South Africa,181.95
2001-06,Lebanon,286.83
2001-06,Ireland,5.47
2001-06,Greece,123.04
2001-06,Croatia,13.13
2001-06,Slovakia,35.12
2001-06,Romania,105.0
2001-06,Slovenia,7.56
2001-06,Yemen,1.56
2001-06,Jordan,12.53
2001-06,Uruguay,13.09
2001-06,Bulgaria,39.97
2001-06,Cyprus,14.44
2001-06,Oman,9.04
2001-06,El Salvador,14.59
2001-06,Kazakhstan,57.34
2001-06,Guatemala,6.72
2001-06,Trinidad and Tobago,1.88
2001-06,Ukraine,14.64
2001-06,Tunisia,6.8
2001-06,Bahrain,4.67
2001-06,Lithuania,5.79
2001-06,Malta,0.12
2001-06,Costa Rica,0.06
2001-06,Pakistan,65.03
2001-06,Honduras,0.67
2001-06,Bangladesh,3.44
2001-06,Qatar,0.6
2001-06,Sri Lanka,7.7
2001-06,Azerbaijan,0.0
2001-06,Nepal,4.75
2001-06,Ecuador,26.3
2001-06,Kenya,0.01
2001-06,Bolivia,29.2
2001-06,Latvia,7.73
2001-06,North Macedonia,5.99
2001-06,Mauritius,1.92
2001-06,Estonia,0.25
2001-06,Mozambique,2.17
2001-06,Paraguay,1.09
2001-06,Dominican Republic,0.57
2001-06,Albania,3.48
2001-06,Cambodia,12.44
2001-06,Bosnia and Herzegovina,0.0
2001-06,Nicaragua,0.46
2001-06,Fiji,0.02
2001-06,Iceland,1.84
2001-06,Papua New Guinea,1.96
2001-06,Armenia,1.39
2001-06,Malawi,0.4
2001-06,Cameroon,0.93
2001-06,Aruba,3.11
2001-06,Kyrgyzstan,2.58
2001-06,Mongolia,5.46
2001-06,Haiti,0.04
2001-06,Lao PDR,0.51
2001-06,Syrian Arab Republic,25.91
2001-06,Ghana,8.71
2001-06,Gabon,0.4
2001-06,Luxembourg,2.36
2001-06,Chad,0.35
2001-06,Tajikistan,0.17
2001-06,Congo,0.35
2001-06,Comoros,0.02
2001-06,Suriname,8.17
2001-06,Eritrea,1.2
2001-06,Burundi,0.54
2001-06,Mauritania,0.36
2001-06,Serbia,31.3
2001-09,Japan,765.22
2001-09,China,395.01
2001-09,"Taiwan, China",421.76
2001-09,Hong Kong SAR,2.08
2001-09,South Korea,13.71
2001-09,Singapore,127.4
2001-09,United States of America,8149.05
2001-09,Germany,3456.56
2001-09,United Kingdom,375.64
2001-09,Mexico,5.83
2001-09,India,357.76
2001-09,Brazil,34.88
2001-09,France,3024.66
2001-09,Russian Federation,405.71
2001-09,Canada,35.52
2001-09,Switzerland,2270.08
2001-09,Thailand,75.33
2001-09,Spain,523.44
2001-09,Malaysia,36.39
2001-09,Indonesia,96.45
2001-09,Norway,36.8
2001-09,Poland,102.86
2001-09,Italy,2451.84
2001-09,Argentina,0.31
2001-09,Turkey,116.12
2001-09,Australia,79.72
2001-09,Algeria,173.64
2001-09,Denmark,66.6
2001-09,Saudi Arabia,142.95
2001-09,Chile,2.29
2001-09,United Arab Emirates,12.35
2001-09,Libya,143.82
2001-09,Egypt,75.64
2001-09,Czech Republic,13.81
2001-09,Austria,347.49
2001-09,Philippines,240.77
2001-09,Sweden,185.42
2001-09,Hungary,3.14
2001-09,Belgium,258.06
2001-09,Nigeria,21.37
2001-09,Colombia,10.17
2001-09,Portugal,606.73
2001-09,Netherlands,884.92
2001-09,Kuwait,78.96
2001-09,Venezuela,337.47
2001-09,Peru,34.21
2001-09,Finland,49.05
2001-09,Morocco,21.99
2001-09,South Africa,181.95
2001-09,Ireland,5.47
2001-09,Greece,123.04
2001-09,Croatia,0.0
2001-09,Lebanon,286.83
2001-09,Slovenia,7.56
2001-09,Slovakia,35.12
2001-09,Romania,105.07
2001-09,Yemen,1.56
2001-09,Jordan,12.57
2001-09,Bulgaria,39.98
2001-09,Uruguay,0.25
2001-09,Ukraine,14.85
2001-09,Cyprus,14.44
2001-09,Oman,9.04
2001-09,Pakistan,65.03
2001-09,Kazakhstan,57.41
2001-09,Trinidad and Tobago,1.88
2001-09,Tunisia,6.78
2001-09,Guatemala,6.76
2001-09,El Salvador,14.59
2001-09,Bahrain,4.67
2001-09,Malta,0.12
2001-09,Lithuania,5.79
2001-09,Costa Rica,0.06
2001-09,Honduras,0.67
2001-09,Qatar,0.6
2001-09,Sri Lanka,8.29
2001-09,Dominican Republic,0.57
2001-09,Bangladesh,3.44
2001-09,Kenya,0.01
2001-09,Nepal,4.75
2001-09,Latvia,7.73
2001-09,Ecuador,26.3
2001-09,Azerbaijan,0.0
2001-09,Bolivia,29.2
2001-09,Mauritius,1.92
2001-09,Estonia,0.25
2001-09,North Macedonia,6.0
2001-09,Albania,3.48
2001-09,Mozambique,0.77
2001-09,Paraguay,1.09
2001-09,Bosnia and Herzegovina,0.0
2001-09,Cambodia,12.44
2001-09,Cameroon,0.93
2001-09,Papua New Guinea,1.96
2001-09,Iceland,1.9
2001-09,Nicaragua,0.46
2001-09,Fiji,0.02
2001-09,Armenia,1.4
2001-09,Malawi,0.4
2001-09,Aruba,3.11
2001-09,Ghana,8.71
2001-09,Kyrgyzstan,2.58
2001-09,Mongolia,6.0
2001-09,Haiti,0.04
2001-09,Lao PDR,2.15
2001-09,Syrian Arab Republic,25.91
2001-09,Chad,0.35
2001-09,Tajikistan,0.19
2001-09,Luxembourg,2.36
2001-09,Comoros,0.02
2001-09,Congo,0.35
2001-09,Gabon,0.4
2001-09,Suriname,7.78
2001-09,Eritrea,1.2
2001-09,Burundi,0.03
2001-09,Mauritania,0.36
2001-09,Serbia,31.4
2001-12,Japan,765.22
2001-12,China,500.76
2001-12,"Taiwan, China",421.76
2001-12,Hong Kong SAR,2.08
2001-12,South Korea,13.74
2001-12,Singapore,127.4
2001-12,United States of America,8149.05
2001-12,Germany,3456.56
2001-12,India,357.76
2001-12,Mexico,7.19
2001-12,United Kingdom,355.25
2001-12,Brazil,34.13
2001-12,Canada,32.72
2001-12,Russian Federation,422.97
2001-12,Thailand,77.14
2001-12,Switzerland,2198.48
2001-12,France,3024.63
2001-12,Spain,523.44
2001-12,Malaysia,36.39
2001-12,Indonesia,96.45
2001-12,Poland,102.89
2001-12,Italy,2451.84
2001-12,Norway,36.8
2001-12,Turkey,116.1
2001-12,Algeria,173.64
2001-12,Australia,79.72
2001-12,Saudi Arabia,142.95
2001-12,Denmark,66.59
2001-12,Libya,143.82
2001-12,Argentina,0.28
2001-12,Chile,2.3
2001-12,Czech Republic,13.81
2001-12,United Arab Emirates,12.35
2001-12,Sweden,185.42
2001-12,Philippines,248.22
2001-12,Egypt,75.64
2001-12,Austria,347.49
2001-12,Belgium,258.06
2001-12,Hungary,3.14
2001-12,Nigeria,21.37
2001-12,Colombia,10.17
2001-12,Kuwait,78.96
2001-12,Portugal,606.73
2001-12,Venezuela,340.27
2001-12,Netherlands,884.51
2001-12,Peru,34.68
2001-12,Morocco,21.99
2001-12,Finland,49.05
2001-12,South Africa,177.91
2001-12,Ireland,5.47
2001-12,Greece,122.61
2001-12,Lebanon,286.83
2001-12,Croatia,0.0
2001-12,Slovenia,7.56
2001-12,Slovakia,35.12
2001-12,Romania,105.19
2001-12,Yemen,1.56
2001-12,Pakistan,65.03
2001-12,Bulgaria,39.97
2001-12,Uruguay,0.25
2001-12,Jordan,12.6
2001-12,Ukraine,15.03
2001-12,Oman,9.04
2001-12,Guatemala,6.76
2001-12,Cyprus,14.43
2001-12,Kazakhstan,57.22
2001-12,Tunisia,6.79
2001-12,Trinidad and Tobago,1.89
2001-12,Bahrain,4.67
2001-12,Malta,0.16
2001-12,Lithuania,5.79
2001-12,El Salvador,14.59
2001-12,Honduras,0.67
2001-12,Costa Rica,0.06
2001-12,Qatar,0.6
2001-12,Sri Lanka,7.95
2001-12,Bangladesh,3.44
2001-12,Bosnia and Herzegovina,0.0
2001-12,Latvia,7.73
2001-12,Dominican Republic,0.57
2001-12,Kenya,0.01
2001-12,Nepal,4.75
2001-12,Bolivia,29.2
2001-12,Ecuador,26.3
2001-12,Mauritius,1.92
2001-12,Estonia,0.25
2001-12,North Macedonia,6.04
2001-12,Albania,3.45
2001-12,Azerbaijan,0.0
2001-12,Paraguay,1.09
2001-12,Mozambique,1.55
2001-12,Cambodia,12.44
2001-12,Papua New Guinea,1.96
2001-12,Nicaragua,0.46
2001-12,Fiji,0.02
2001-12,Iceland,1.93
2001-12,Cameroon,0.93
2001-12,Armenia,1.4
2001-12,Ghana,8.74
2001-12,Aruba,3.11
2001-12,Kyrgyzstan,2.58
2001-12,Malawi,0.4
2001-12,Mongolia,5.73
2001-12,Haiti,0.04
2001-12,Lao PDR,2.25
2001-12,Syrian Arab Republic,25.91
2001-12,Chad,0.35
2001-12,Suriname,8.24
2001-12,Luxembourg,2.36
2001-12,Tajikistan,0.19
2001-12,Congo,0.35
2001-12,Comoros,0.02
2001-12,Eritrea,1.2
2001-12,Mauritania,0.36
2001-12,Burundi,0.03
2001-12,Gabon,0.4
2001-12,Serbia,18.4
2002-03,Japan,765.22
2002-03,China,500.76
2002-03,"Taiwan, China",421.76
2002-03,Hong Kong SAR,2.08
2002-03,South Korea,13.75
2002-03,Singapore,127.4
2002-03,United States of America,8149.05
2002-03,Germany,3448.17
2002-03,India,357.76
2002-03,Mexico,6.32
2002-03,United Kingdom,314.48
2002-03,Brazil,34.16
2002-03,Canada,29.77
2002-03,Russian Federation,426.71
2002-03,Thailand,77.14
2002-03,Switzerland,2128.78
2002-03,Malaysia,36.39
